n,count,mean,mean_recal,median,25perc,std
2,16,0.04890252966982174,4.30491150853654,0.05054030637963966,0.05380567028814917,0.007163397958448939
3,16,0.02676420732590538,2.7449499764957412,0.024784787386901676,0.030570231279122704,0.007338961044146031
4,16,0.017596360429749876,2.1872218452787036,0.01739472805206401,0.022062467503364644,0.005464348111376522
5,16,0.015044594155075015,1.8517865491698318,0.015253295911155526,0.016479398704531852,0.00270988358758526
6,16,0.015131068382377787,1.7706817797017271,0.015441117509737621,0.017712851624201942,0.0027588524801622025
7,16,0.01459192834880339,1.8877251868634155,0.014166866668319763,0.015736461164237634,0.002406128255912328
8,16,0.014841992789876336,1.7064318325339176,0.013646441020684363,0.01844148833874617,0.004243419965121125
9,16,0.014009064449594917,1.8352212910528898,0.013873138132043958,0.016042775007847485,0.0036589550118081523
10,16,0.013458274447578182,1.6876914402579115,0.012965665733688507,0.016502550421674346,0.0032249532505160467
11,16,0.013909951198186851,1.6240972506245839,0.013958941882444282,0.015434041296252969,0.002199183577606771
12,16,0.013406384376584018,1.6696973593918505,0.013714533038100166,0.014766911992956572,0.0022524837405041125
13,16,0.012955607845052154,1.623516549454351,0.012710314235364447,0.013823788082842384,0.001510735160278088
14,16,0.013155281581503584,1.645732213756705,0.012762345792112507,0.014879650340300359,0.002068536921649733
15,16,0.013335366770690757,1.6327687244263402,0.013378499006204038,0.014078966436653805,0.0013743524356703812
16,1,0.013559497257121796,1.6362490396029463,0.013559497257121796,0.013559497257121796,0.0
